#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','3D14A1','DR-400','D-EGBH','BH','Y','Y'
'I','3D17F2','DR-250','D-EHHY','','Y','Y'
'I','3D1B27','DR-250','D-EINN','NN','Y','Y'
'I','3D1C79','TB-10 Tobago','D-EJAN','AN','Y','Y'
'I','3D1D38','DR-400','D-EJHW','HW','Y','Y'
'I','3D1F7E','Cessna 172','D-EKEG','','Y','Y'
'I','3D2137','DR-400','D-EKVF','VF','Y','Y'
'F','3D2277','Cessna 172','D-ELHN','HN','Y','Y'
'I','3D23B1','Aquila A210','DELTP','TP','Y','Y'
'I','3D23F3','Motorplane','D-ELWD','','Y','Y'
'F','3D2949','DA40','D-ENWR','WR','Y','Y'
'I','3D2EF0','DA40','D-EQAI','AI','Y','Y'
'I','3D335C','Cessna 172','DERRW','','Y','Y'
'I','3D349D','Aquila A210','D-ESEF','EF','Y','Y'
'F','3D5C99','SF-25','D-KAGN','','Y','Y'
'F','3E5C8D','SF-25','D-KAGB','','Y','Y'
'F','3E5C9B','SF-25','D-KAGP','','Y','Y'
'F','3E5CA3','SF-25','D-KAGX','','Y','Y'
'F','3E5CA5','SF-25','D-KAGZ','','Y','Y'
'F','3E5DBD','Arcus M','D-KART','GO','Y','Y'
'I','3E5DF4','Grob G109','D-KATW','TW','Y','Y'
'F','3E5E9E','H36 Dimona','D-KBAK','','Y','Y'
'I','3E5EF1','ASH-26 E','D-KBDP','DP','Y','Y'
'I','3E6050','ASH-31 MI','D-KBRC','RC','Y','Y'
'I','3E60AF','SF-25','DKBUT','UT','Y','Y'
'F','3E60B2','SF-25','D-XXUW','UW','Y','Y'
'I','3E61F3','PIK-20 E','D-KCHF','HF','Y','Y'
'I','3E6213','Motorglider','D-KCIL','IL','Y','Y'
'I','3E6281','Discus 2cT','D-KCMR','MR','Y','Y'
'F','3E6334','DG-800','D-KCTO','TO','Y','Y'
'I','3E637D','Arcus M','D-KCWJ','8F','Y','Y'
'F','3E64F1','HK36 Super Dimona','D-KDKR','KR','Y','Y'
'F','3E6577','HK36 Super Dimona','D-KDPV','','Y','Y'
'I','3E6681','ASH-26 E','D-KEAB','AB','Y','Y'
'I','3E671A','SF-25','D-KEFY','FY','Y','Y'
'I','3E673B','DG-400','D-KEHF','HF','Y','Y'
'F','3E67FD','SF-25','D-XXOR','OR','Y','Y'
'F','3E69B0','DG-808 B','D-KFFK','FK','Y','Y'
'I','3E6BCA','HK36 Super Dimona','D-KGAC','','Y','Y'
'I','3E6BD3','','','','Y','N'
'F','3E6D03','ASH-26 E','D-KGMD','MD','Y','Y'
'F','3E6D5F','L 13 SEH Vivat','D-KGPR','PR','Y','Y'
'I','3E6DC9','ASG-29E','D-KGTT','2T','Y','Y'
'F','3E6DE8','Ventus 2cxM','D-KGUY','UY','Y','Y'
'I','3E6EDF','Arcus M','D-KHEL','EL','Y','Y'
'I','3E6F41','Nimbus 3','D-KHIF','XZ','Y','Y'
'F','3E71F5','Ventus t','D-KIIV','TB','Y','Y'
'F','3E7327','LS-10','D-XXUP','IUP','Y','Y'
'F','3E74F8','Nimbus 3','D-3190','90','Y','Y'
'I','3E7540','ASH-31 MI','D-KJPG','PG','Y','Y'
'F','3E76A2','ASG-32 MI','D-KWMH','MH','Y','Y'
'I','3E77CE','Ventus 2cxT','D-KKMO','MO','Y','Y'
'I','3E7A2C','LS-10','D-KLLS','LS','Y','Y'
'I','3E7A6C','ASG-29E','D-KLOE','CT','Y','Y'
'I','3E7A72','Ventus 2cxM','D-KLOK','OK','Y','Y'
'I','3E7AD9','Quintus','D-KLSJ','Q','Y','Y'
'F','3E7B1A','Motorglider','D-KLUW','','Y','Y'
'I','3E7B34','HK36 Super Dimona','D-KLVW','','Y','Y'
'I','3E7BB3','Antares 18 T','D-KMAT','M','Y','Y'
'F','3E7BC5','HK36 Super Dimona','D-KMBL','','Y','Y'
'F','3E7C0A','A380','D-KMEC','EC','Y','Y'
'I','3E7C3C','HK36 Super Dimona','D-KMGA','GA','Y','Y'
'F','3E7C9B','Ventus 2cxT','D-KMJR','','Y','Y'
'F','3E7CD0','ASH-31 MI','D-KMLS','LS','Y','Y'
'I','3E7D2A','SF-25','D-KMPE','','Y','Y'
'I','3E7D7C','Ventus 2cxM','D-KMSI','SI','Y','Y'
'I','3E7E50','SF-25','D-KNAM','','Y','Y'
'F','3E7EC3','Grob G109','D-KNEX','','Y','Y'
'I','3E9681','HK36 Super Dimona','D-KWER','','Y','Y'
'F','3EC1C2','SF-25','D-KOIK','IK','Y','Y'
'I','3EC249','Arcus M','D-KONP','NP','Y','Y'
'I','3EC46D','H36 Dimona','D-KPIR','','Y','Y'
'F','3EC55C','ASH-25 MI','D-KPRW','RW','Y','Y'
'F','3EC9F2','Duo Discus xt','D-KRLA','LA','Y','Y'
'I','3ECA66','ASG-29E','D-KRPM','MX','Y','Y'
'I','3ECC15','Grob G109','D-KSGB','GB','Y','Y'
'F','3ECF8F','Nimbus 4DM','D-KTOH','OH','Y','Y'
'I','3ED0E6','ASG-29E','D-KUBM','9X','Y','Y'
'F','3ED92B','Arcus T','F-CXEX','SEX','Y','Y'
'I','3ED9DD','Duo Discus xlt','F-CJYB','YB','Y','Y'
'F','3EDD99','DG-808 B','D-KVCB','J','Y','Y'
'I','3EDEBC','Duo Discus xlt','ZHS','ZHS','Y','Y'
'F','3EE104','LS-8','D-0109','SB','Y','Y'
'F','3EE10B','ASW-20','D - 011','15','Y','Y'
'I','3EE1FC','DG-300','D-0357','PL','Y','Y'
'I','3EE34B','LS-4','D-0692','EL','Y','Y'
'I','3EE673','Libelle Std','D-1500','ii','Y','Y'
'I','3EE8CD','Cirrus Std','D-2102','SA','Y','Y'
'F','3EE93F','Libelle Std','D-2216','2JB','Y','Y'
'I','3EE9C9','ASK-23','D-2354','G2','Y','Y'
'I','3EEA38','ASW-24','D-2465','8M','Y','Y'
